place,title,coverage
qsr-place:277,124 Worcester Street,"-43.5312,172.6394"
qsr-place:2958,125 East Belt,"-43.298,172.598"
qsr-place:525,125 Gayhurst Road,"-43.516,172.6803"
qsr-place:2101,125 Major Hornbrook Road,"-43.5652,172.7159"
qsr-place:1195,125 Moorhouse Avenue,"-43.5396,172.6263"
qsr-place:2445,125 Raven Quay,"-43.3832,172.6571"
qsr-place:2579,126 Brighton Mall,"-43.5073,172.7273"
qsr-place:173,126 Cashel Street,"-43.5333,172.6356"
qsr-place:1094,126 Hereford Street,"-43.5321,172.6362"
qsr-place:1454,126 Main Road,"-43.5584,172.7339"
qsr-place:989,126 Manchester Street,"-43.5340,172.6399"
qsr-place:1107,126 Oxford Terrace,"-43.5327,172.6341"
qsr-place:211,127 Cashel Street,"-43.5330,172.6369"
qsr-place:1857,127 Hereford Street,"-43.5321,172.6363"
qsr-place:1527,127 Lichfield Street,"-43.5340,172.6415"
qsr-place:1264,127 Manchester Street,"-43.5352,172.6395"
qsr-place:1375,127 Peterborough Street,"-43.5250,172.6352"
qsr-place:1886,127 Worcester Street,"-43.5308,172.6392"
qsr-place:778,128 Lichfield Street,"-43.5343,172.64"
qsr-place:1525,128 Manchester Street,"-43.5338,172.6399"
qsr-place:628,128 New Brighton Road,"-43.5058,172.6763"
qsr-place:174,128 Oxford Terrace,"-43.5326,172.6342"
qsr-place:1709,128 Park Terrace,"-43.5221,172.627"
qsr-place:886,128 St Martins Road,"-43.5535,172.6573"
qsr-place:2131,129 Armagh Street,"-43.5287,172.6384"
qsr-place:1973,129 Cambridge Terrace,"-43.5312,172.6324"
qsr-place:691,129 High Street,"-43.5363,172.6422"
qsr-place:15,129 Kilmore Street,"-43.5264,172.6371"
qsr-place:2921,129 Linwood Avenue,"-43.5296,172.6676"
qsr-place:757,129 Manchester Street,"-43.5351,172.6395"
qsr-place:1376,129 Peterborough Street,"-43.5250,172.6352"
qsr-place:1549,129 Riccarton Road,"-43.5300,172.5981"
qsr-place:112,129 Williams Street,"-43.3830,172.6567"
qsr-place:273,129 Worcester Street,"-43.5308,172.6392"
qsr-place:2634,13 Bridge Street,"-43.5235,172.7356"
qsr-place:719,13 Brook Street,"-43.5136,172.7195"
qsr-place:1080,13 Dundas Street,"-43.5385,172.6377"
qsr-place:1964,13 Oxford Street,"-43.6036,172.7222"
qsr-place:314,13 Stevens Street,"-43.5407,172.6515"
qsr-place:908,130 Bishop Street,"-43.5144,172.6415"
qsr-place:2540,130 Ferry Road,"-43.5386,172.6510"
qsr-place:1856,130 Hereford Street,"-43.5321,172.6364"
qsr-place:784,130 Lichfield Street,"-43.5343,172.6406"
qsr-place:2419,130 Madras Street,"-43.538,172.643"
qsr-place:1635,130 Manchester Street,"-43.5335,172.6398"
qsr-place:2417,130 Oram Avenue,"-43.5137,172.7317"
qsr-place:1513,130 Oxford Terrace,"-43.5325,172.6341"
qsr-place:740,130 Peterborough Street,"-43.5256,172.6374"
qsr-place:1027,131 Gloucester Street,"-43.5297,172.6373"
qsr-place:1133,131 Manchester Street,"-43.5350,172.6395"
qsr-place:1048,131 Victoria Street,"-43.5236,172.6293"
qsr-place:2285,132 Breezes Road,"-43.511,172.690"
qsr-place:2604,"132 Charles Street, Kaiapoi","-43.3867,172.6674"
qsr-place:452,132 Kilmore Street,"-43.5268,172.6381"
qsr-place:2109,132 Manchester Street,"-43.5334,172.6398"
qsr-place:1185,132 Percival Street,"-43.3053,172.5940"
qsr-place:681,132 Tuam Street,"-43.5354,172.6338"
qsr-place:941,133 Caledonian Road,"-43.5145,172.6354"
qsr-place:1807,133 Cashel Street,"-43.5329,172.6372"
qsr-place:775,133 Manchester Street,"-43.5350,172.6395"
qsr-place:110,133 Tuam Street,"-43.5352,172.6354"
qsr-place:16,133 Worcester Street,"-43.5308,172.6393"
qsr-place:19,134 Gloucester Street,"-43.5300,172.6373"
qsr-place:205,134 Hereford Street,"-43.5322,172.6372"
qsr-place:1496,134 Salisbury Street,"-43.5246,172.6373"
qsr-place:17,134 Victoria Street,"-43.5219,172.6293"
qsr-place:793,134 Waimari Road,"-43.5206,172.5730"
qsr-place:18,134 Worcester Street,"-43.5311,172.6403"
qsr-place:579,1341 Wards Road,"-43.5562,172.2128"
qsr-place:2993,135 Cashel Street,"-43.5329,172.6374"
qsr-place:464,135 Colombo Street,"-43.5579,172.6365"
qsr-place:2526,135 Ferry Road,"-43.5383,172.6516"
qsr-place:1781,135 Hereford Street,"-43.5319,172.6374"
qsr-place:2265,135 High Street,"-43.5362,172.6421"
qsr-place:98,135 Kilmore Street,"-43.5262,172.6373"
qsr-place:1989,135 Manchester Street,"-43.5349,172.6395"
qsr-place:334,135 Tuam Street,"-43.5352,172.6356"
qsr-place:2403,135 Worcester Street,"-43.5308,172.6394"
qsr-place:353,136 Gloucester Street,"-43.5300,172.6374"
qsr-place:1167,136 Lichfield Street,"-43.5343,172.6409"
qsr-place:1106,136 Oxford Terrace,"-43.5324,172.6340"
qsr-place:2178,136 Worcester Street,"-43.5311,172.6404"
qsr-place:1054,137 Cambridge Terrace,"-43.5307,172.6326"
qsr-place:1780,137 Hereford Street,"-43.5319,172.6375"
qsr-place:710,137 Kilmore Street,"-43.5263,172.6376"
qsr-place:1416,137 Manchester Street,"-43.5348,172.6395"
qsr-place:739,137 Peterborough Street,"-43.5252,172.6381"
qsr-place:922,137 Sparks Road,"-43.5660,172.6027"
qsr-place:335,137 Tuam Street,"-43.5352,172.6356"
qsr-place:1413,137 Victoria Street,"-43.5233,172.6294"
qsr-place:354,138 Gloucester Street,"-43.5300,172.6375"
qsr-place:1418,138 Hereford Street,"-43.5321,172.6374"
qsr-place:1029,138 Lichfield Street,"-43.5345,172.6409"
qsr-place:561,138 McBratneys Road,"-43.5127,172.6818"
qsr-place:1385,138 Park Terrace,"-43.5218,172.6270"
qsr-place:490,138 Victoria Street,"-43.5215,172.6288"
qsr-place:620,139 Colombo Street,"-43.5578,172.6365"
qsr-place:630,139 Huxley Street,"-43.5532,172.6445"
qsr-place:1002,139 Lichfield Street,"-43.5341,172.6421"
qsr-place:756,139 Manchester Street,"-43.5348,172.6395"
qsr-place:336,139 Tuam Street,"-43.5351,172.6357"
qsr-place:774,139 Worcester Street,"-43.5308,172.6400"
qsr-place:2337,14 Anfield Street,"-43.4040,172.6967"
qsr-place:2146,14 Avoca Valley Road,"-43.5702,172.6830"
qsr-place:803,14 Bateman Avenue,"-43.5075,172.5913"
qsr-place:1004,14 Bedford Row,"-43.5338,172.6405"
qsr-place:283,14 Bishop Street,"-43.5200,172.6413"
qsr-place:1186,14 Cathedral Square,"-43.5314,172.6377"
qsr-place:957,14 Chateau Drive,"-43.5103,172.5812"
qsr-place:769,14 Chichester Street,"-43.3786,172.7036"
qsr-place:907,14 Corsair Drive,"-43.5476,172.5437"
qsr-place:1087,14 Gloucester Street,"-43.5302,172.6286"
qsr-place:768,14 Hood Avenue,"-43.3788,172.7039"
qsr-place:903,14 Hudson Street,"-43.5019,172.5937"
qsr-place:1300,14 Kinsey Terrace,"-43.5650,172.7513"
qsr-place:2660,14 Morganwood Street,"-43.5162,172.7217"
qsr-place:562,14 Moyna Avenue,"-43.5122,172.6773"
qsr-place:1651,14 Norwich Quay,"-43.6037,172.7216"
qsr-place:828,14 School Road,"-43.5911,172.5701"
qsr-place:885,14 Sinclair Street,"-43.5017,172.7177"
qsr-place:71,14 Wakefield Avenue,"-43.5691,172.7587"
qsr-place:2055,14 Wise Street,"-43.5424,172.6113"
qsr-place:270,140 Barbadoes Street,"-43.5376,172.6462"
qsr-place:2333,140 Colombo Street,"-43.5576,-43.5575"
qsr-place:355,140 Gloucester Street,"-43.5300,172.6376"
qsr-place:2923,140 Hawthornden Road,"-43.509,172.548"
qsr-place:951,140 Horndon Street,"-43.4867,172.1211"
qsr-place:451,140 Kilmore Street,"-43.5268,172.6384"
qsr-place:2873,140 Kingsford Street,"-43.4996,172.6746"
qsr-place:1126,140 Lichfield Street,"-43.5344,172.6411"
qsr-place:233,140 Main Road,"-43.559,172.734"
qsr-place:1351,140 Springfield Road,"-43.5141,172.6325"
qsr-place:499,140 Victoria Street,"-43.5217,172.6289"
qsr-place:1661,141 Cambridge Terrace,"-43.5305,172.6325"
qsr-place:2617,141 Cashel Street,"-43.5329,172.6384"
qsr-place:1771,141 Gloucester Street,"-43.5297,172.6379"
qsr-place:1744,141 Hereford Street,"-43.5319,172.6377"
qsr-place:175,141 Lichfield Street,"-43.5340,172.6424"
qsr-place:306,141 Manchester Street,"-43.5348,172.6395"
qsr-place:20,141 Peterborough Street,"-43.5254,172.6383"
qsr-place:2449,"141 Rue Jolie, Akaroa","-43.811,172.963"
qsr-place:111,141 Tuam Street,"-43.5349,172.6360"
qsr-place:854,142 Edinburgh Street,"-43.5500,172.6073"
qsr-place:809,142 Hamilton Avenue,"-43.5143,172.5807"
qsr-place:1724,142 Park Terrace,"-43.5215,172.6269"
qsr-place:1352,142 Springfield Road,"-43.5140,172.6325"
qsr-place:500,142 Victoria Street,"-43.5217,172.6290"
qsr-place:445,143 Manchester Street,"-43.5347,172.6395"
qsr-place:1377,143 Peterborough Street,"-43.5250,172.6352"
qsr-place:2149,143 Tuam Street,"-43.5352,172.6362"
qsr-place:1188,143 Williams Street,"-43.3817,172.6584"
qsr-place:1887,143 Worcester Street,"-43.5308,172.6402"
qsr-place:21,144 Gloucester Street,"-43.5302,172.6376"
qsr-place:1163,144 High Street,"-43.5351,172.6412"
qsr-place:176,144 Kilmore Street,"-43.5268,172.6386"
qsr-place:1787,144 Lichfield Street,"-43.5344,172.6415"
qsr-place:1725,144 Park Terrace,"-43.5215,172.6269"
qsr-place:1353,144 Springfield Road,"-43.5140,172.6325"
qsr-place:501,144 Victoria Street,"-43.5217,172.6290"
qsr-place:2191,144 Woodham Road,"-43.5255,172.6711"
qsr-place:1976,145 Colombo Street,"-43.5576,172.6366"
qsr-place:2113,145 Fendalton Road,"-43.5195,172.5965"
qsr-place:1670,145 Gloucester Street,"-43.5297,172.6381"
qsr-place:303,145 Lichfield Street,"-43.5340,172.6429"
qsr-place:1052,145 Madras Street,"-43.5383,172.6426"
qsr-place:446,145 Manchester Street,"-43.5346,172.6395"
qsr-place:1641,145 Peterborough Street,"-43.5251,172.6386"
qsr-place:167,"145 Williams Street, Kaiapoi","-43.3816,172.6586"
qsr-place:317,145 Worcester Street,"-43.5308,172.6403"
qsr-place:1783,146 Cashel Street,"-43.5333,172.6370"
qsr-place:166,146 Colombo Street,"-43.5300,172.6379"
qsr-place:1852,146 Gloucester Street,"-43.5301,172.6379"
qsr-place:781,146 High Street,"-43.5350,172.6411"
qsr-place:380,146 Kilmore Street,"-43.5268,172.6388"
qsr-place:1745,146 Manchester Street,"-43.5327,172.6399"
qsr-place:1726,146 Park Terrace,"-43.5215,172.6269"
qsr-place:1354,146 Springfield Road,"-43.5139,172.6325"
qsr-place:503,146 Victoria Street,"-43.5217,172.6290"
qsr-place:1408,147 Esplanade,"-43.5732,172.7698"
qsr-place:1737,147 Hereford Street,"-43.5319,172.6381"
qsr-place:692,147 High Street,"-43.5360,172.6417"
qsr-place:447,147 Manchester Street,"-43.5346,172.6395"
qsr-place:450,147 Worcester Street,"-43.5308,172.6405"
qsr-place:165,148 Gloucester Street,"-43.5302,172.6381"
qsr-place:381,148 Kilmore Street,"-43.5268,172.6390"
qsr-place:1788,148 Lichfield Street,"-43.5344,172.6417"
qsr-place:1738,148 Manchester Street,"-43.5326,172.6399"
qsr-place:1727,148 Park Terrace,"-43.5215,172.6269"
qsr-place:2338,148 Rocking Horse Road,"-43.5515,172.7474"
qsr-place:502,148 Victoria Street,"-43.5217,172.6290"
qsr-place:448,149 Manchester Street,"-43.5345,172.6394"
qsr-place:2550,15 Beresford Street,"-43.5081,172.7302"
qsr-place:2859,15 Bracken Street,"-43.5208,172.6639"
qsr-place:618,15 Cashel Street,"-43.5329,172.6287"
qsr-place:263,15 Cathedral Square,"-43.5315,172.6358"
