place,title,coverage
qsr-place:953,21 Dalkeith Street,"-43.5621,172.6008"
qsr-place:1272,21 Dilworth Street,"-43.5319,172.6025"
qsr-place:1996,21 Dundas Street,"-43.5386,172.6381"
qsr-place:2869,21 Galbraith Avenue,"-43.5160,172.6682"
qsr-place:1859,21 Hurley Street,"-43.5249,172.6480"
qsr-place:1156,21 Latimer Square,"-43.5307,172.6418"
qsr-place:1146,21 Peterborough Street,"-43.5255,172.6299"
qsr-place:862,21 Santa Rosa Avenue,"-43.5780,172.5619"
qsr-place:2306,21 Turners Road,"-43.445,172.660"
qsr-place:298,210 Hereford Street,"-43.5322,172.6423"
qsr-place:2414,210 Main North Road,"-43.484,172.619"
qsr-place:308,210 Oxford Terrace,"-43.5278,172.6372"
qsr-place:2340,210 Salisbury Street,"-43.5246,172.6422"
qsr-place:1303,210 Tuam Street,"-43.5354,172.6389"
qsr-place:1459,210 Worcester Street,"-43.5311,172.6455"
qsr-place:1899,211 High Street,"-43.5347,172.6401"
qsr-place:488,211 Manchester Street,"-43.5314,172.6394"
qsr-place:1869,211 Oxford Terrace,"-43.5275,172.6372"
qsr-place:2694,211 Queensbury Street,"-43.5011,172.6768"
qsr-place:2409,212 Barbadoes Street,"-43.5311,172.6459"
qsr-place:238,212 Bealey Avenue,"-43.5212,172.6416"
qsr-place:1791,212 Cashel Street,"-43.5333,172.6411"
qsr-place:1158,212 Madras Street,"-43.5346,172.6428"
qsr-place:1458,212 Peterborough Street,"-43.5257,172.6430"
qsr-place:84,212 Worcester Street,"-43.5310,172.6459"
qsr-place:1728,213 Durham Street South,"-43.5367,172.6333"
qsr-place:1900,213 High Street,"-43.5347,172.6400"
qsr-place:504,213 Manchester Street,"-43.5314,172.6395"
qsr-place:1061,213 Marine Parade,"-43.5069,172.7313"
qsr-place:2341,213 River Road,"-43.5218,172.6597"
qsr-place:2431,213 Salisbury Street,"-43.5242,172.6423"
qsr-place:1397,213 Tuam Street,"-43.5352,172.6414"
qsr-place:419,214 Bealey Avenue,"-43.5212,172.6417"
qsr-place:1457,214 Peterborough Street,"-43.5257,172.6431"
qsr-place:656,214 Tuam Street,"-43.5356,172.639"
qsr-place:222,2142 Homebush Road,"-43.471,171.995"
qsr-place:269,215 Hororata Road,"-43.5191,171.9463"
qsr-place:2997,215 Manchester Street,"-43.531382,172.639423"
qsr-place:591,215 Queensbury Street,"-43.5009,172.6769"
qsr-place:420,216 Bealey Avenue,"-43.5212,172.6418"
qsr-place:1708,216 Brougham Street,"-43.5486,172.6316"
qsr-place:1000,216 Madras Street,"-43.5345,172.6429"
qsr-place:1906,216 Peterborough Street,"-43.5256,172.6432"
qsr-place:2738,217 Queensbury Street,"-43.5007,172.6768"
qsr-place:1162,217 Tuam Street,"-43.5351,172.6416"
qsr-place:2981,218 Bamfords Road,"-43.6524,172.6355"
qsr-place:421,218 Bealey Avenue,"-43.5212,172.6420"
qsr-place:1003,218 Cashel Street,"-43.5333,172.6415"
qsr-place:244,218 Durham Street South,"-43.5352,172.6339"
qsr-place:723,218 Madras Street,"-43.5338,172.6429"
qsr-place:1297,218 Manchester Street,"-43.5291,172.6398"
qsr-place:85,218 Peterborough Street,"-43.5257,172.6434"
qsr-place:1265,218 Tuam Street,"-43.5354,172.6394"
qsr-place:199,219 Colombo Street,"-43.5533,172.6357"
qsr-place:153,219 High Street,"-43.5340,172.6391"
qsr-place:1881,219 Tuam Street,"-43.5351,172.6418"
qsr-place:88,22 Aberdeen Street,"-43.5230,172.6411"
qsr-place:931,22 Attlee Crescent,"-43.5059,172.5850"
qsr-place:2863,22 Bracken Street,"-43.5204,172.6645"
qsr-place:872,22 Cashmere View Street,"-43.5682,172.6206"
qsr-place:86,22 Cranmer Square,"-43.5276,172.6315"
qsr-place:2740,22 Liggins Street,"-43.5008,172.6763"
qsr-place:680,22 Lyttelton Street,"-43.5670,172.6154"
qsr-place:2939,22 Matlock Street,"-43.5428,172.6684"
qsr-place:541,22 Orari Street,"-43.5113,172.7199"
qsr-place:868,22 Sidney Quay,"-43.3763,172.6543"
qsr-place:829,22 Wades Avenue,"-43.5573,172.6552"
qsr-place:2680,22 Waygreen Avenue,"-43.5001,172.7052"
qsr-place:799,22 Wayside Avenue,"-43.5035,172.5807"
qsr-place:969,220 Kilmore Street,"-43.5268,172.6454"
qsr-place:2171,220 Pages Road,"-43.5218,172.6960"
qsr-place:343,220 Peterborough Street,"-43.5257,172.6434"
qsr-place:1407,221 Gloucester Street,"-43.5296,172.6424"
qsr-place:378,221 High Street,"-43.5340,172.6390"
qsr-place:1111,221 Manchester Street,"-43.5307,172.6394"
qsr-place:830,221 Pine Avenue,"-43.5280,172.7370"
qsr-place:1165,221 Tuam Street,"-43.5351,172.6420"
qsr-place:847,221 Waimea Terrace,"-43.5693,172.6405"
qsr-place:779,222 High Street,"-43.533,172.638"
qsr-place:724,222 St Asaph Street,"-43.5366,172.6391"
qsr-place:379,223 High Street,"-43.5339,172.6390"
qsr-place:2209,223 Manchester Street,"-43.5307,172.6395"
qsr-place:315,223 Tuam Street,"-43.5350,172.6423"
qsr-place:1006,224 Cashel Street,"-43.5334,172.6421"
qsr-place:2002,224 Hororata Road,"-43.5198,171.9469"
qsr-place:1384,224 Kilmore Street,"-43.5264,172.6461"
qsr-place:1426,225 Cashel Street,"-43.5329,172.6432"
qsr-place:1143,225 High Street,"-43.5339,172.6390"
qsr-place:2218,225 Kilmore Street,"-43.5264,172.6453"
qsr-place:2883,225 River Road,"-43.5211,172.6603"
qsr-place:253,225 St Asaph Street,"-43.5363,172.6391"
qsr-place:2294,226 Antigua Street,"-43.5377,172.6277"
qsr-place:1860,226 Kilmore Street,"-43.5267,172.6459"
qsr-place:1109,227 Cambridge Terrace,"-43.5273,172.6382"
qsr-place:2025,227 Fitzgerald Avenue,"-43.5274,172.6500"
qsr-place:1035,227 High Street,"-43.5339,172.6390"
qsr-place:2464,227 Manchester Street,"-43.5306,-43.5305"
qsr-place:2548,227 St Asaph Street,"-43.5362,172.6391"
qsr-place:2108,227 Tuam Street,"-43.5353,172.6420"
qsr-place:2021,228 Linwood Avenue,"-43.5334,172.6725"
qsr-place:1285,229 Fitzgerald Avenue,"-43.5271,172.6503"
qsr-place:571,229 Kilmore Street,"-43.5264,172.6455"
qsr-place:1287,23 Beresford Street,"-43.5082,172.7293"
qsr-place:715,23 Brook Street,"-43.5134,172.7205"
qsr-place:1590,23 Carlyle Street,"-43.5412,172.6397"
qsr-place:1767,"23 Cass Street, Kaiapoi","-43.3817,172.6614"
qsr-place:632,23 Country Palms Drive,"-43.5859,172.5626"
qsr-place:1073,23 Exeter Street,"-43.6008,172.7219"
qsr-place:2172,23 Hutcheson Street,"-43.5478,172.6384"
qsr-place:624,23 Kenwyn Avenue,"-43.4998,172.6244"
qsr-place:2365,23 Lichfield Street,"-43.5339,172.6344"
qsr-place:2718,23 Seabreeze Close,"-43.5186,172.7206"
qsr-place:1588,23 Sir William Pickering Drive,"-43.4960,172.5595"
qsr-place:837,23 Stanton Crescent,"-43.5614,172.5831"
qsr-place:2174,23 Woodham Road,"-43.5249,172.6617"
qsr-place:1305,23 Yaldhurst Road,"-43.5317,172.5699"
qsr-place:89,230 Armagh Street,"-43.5289,172.6418"
qsr-place:1116,230 Cambridge Terrace,"-43.5278,172.6390"
qsr-place:1348,230 Fitzgerald Avenue,"-43.5270,172.6510"
qsr-place:1858,230 High Street,"-43.5327,172.6378"
qsr-place:1546,230 Kilmore Street,"-43.5268,172.6461"
qsr-place:2106,230 Maces Road,"-43.5322,172.6963"
qsr-place:697,230 St Asaph Street,"-43.5365,172.6400"
qsr-place:1883,230 Tuam Street,"-43.5354,172.6404"
qsr-place:1929,231 Armagh Street,"-43.5285,172.6446"
qsr-place:1032,231 High Street,"-43.5337,172.6388"
qsr-place:1861,231 Kilmore Street,"-43.5264,172.6458"
qsr-place:320,232 Armagh Street,"-43.5289,172.6418"
qsr-place:271,232 Opawa Road,"-43.5575,172.6714"
qsr-place:1882,232 Tuam Street,"-43.5354,172.6405"
qsr-place:217,233 Cambridge Terrace,"-43.5274,172.6387"
qsr-place:321,234 Armagh Street,"-43.5289,172.6421"
qsr-place:2577,234 Centaurus Road,"-43.5629,172.6570"
qsr-place:99,234 Hereford Street,"-43.5322,172.6434"
qsr-place:2269,234 St Asaph Street,"-43.5366,172.6402"
qsr-place:302,235 High Street,"-43.5337,172.6386"
qsr-place:1984,235 Kilmore Street,"-43.5264,172.6460"
qsr-place:311,235 River Road,"-43.5209,172.6606"
qsr-place:322,236 Armagh Street,"-43.5289,172.6422"
qsr-place:120,236 Cashel Street,"-43.5334,172.6432"
qsr-place:295,236 Fitzgerald Avenue,"-43.5259,172.6509"
qsr-place:735,236 Linwood Avenue,"-43.5337,172.6726"
qsr-place:152,236 Tuam Street,"-43.5355,172.6408"
qsr-place:2266,237 Bealey Avenue,"-43.5206,172.6424"
qsr-place:90,237 Cambridge Terrace,"-43.5273,172.6391"
qsr-place:2098,237 Hereford Street,"-43.5318,172.6442"
qsr-place:441,237 High Street,"-43.5336,172.6385"
qsr-place:1383,237 Kilmore Street,"-43.5264,172.6461"
qsr-place:552,237 Queensbury Street,"-43.4987,172.6764"
qsr-place:323,238 Armagh Street,"-43.5289,172.6423"
qsr-place:2618,238 Tuam Street,"-43.5355,172.6410"
qsr-place:1169,239 Armagh Street,"-43.5286,172.6450"
qsr-place:2476,239 Hereford Street,"-43.5317,172.6443"
qsr-place:442,239 High Street,"-43.5336,172.6384"
qsr-place:2208,239 Manchester Street,"-43.5305,172.6395"
qsr-place:1497,239 Salisbury Street,"-43.5244,172.6444"
qsr-place:2527,239 Waltham Road,"-43.5427,172.6463"
qsr-place:1507,24 Bedford Row,"-43.5338,172.6410"
qsr-place:2865,24 Bracken Street,"-43.5202,172.6646"
qsr-place:275,24 Church Lane,"-43.5153,172.6221"
qsr-place:2596,24 Courtenay Drive,"-43.3877,172.6612"
qsr-place:325,24 Cranmer Square,"-43.5275,172.6314"
qsr-place:588,24 Fairford Street,"-43.4822,172.5841"
qsr-place:1081,24 Fitzgerald Avenue,"-43.5387,172.6509"
qsr-place:2786,24 Goodman Street,"-43.5036,172.6782"
qsr-place:627,24 Kingsford Street,"-43.5064,172.6764"
qsr-place:2746,24 Liggins Street,"-43.5007,172.6765"
qsr-place:1214,24 London Street,"-43.6026,172.7215"
qsr-place:1990,24 Mariner Street,"-43.6042,172.6887"
qsr-place:1138,24 Norwich Quay,"-43.6035,172.7210"
qsr-place:1215,24 Union Street,"-43.5092,172.7274"
qsr-place:2678,24 Waygreen Avenue,"-43.4998,172.7052"
qsr-place:324,240 Armagh Street,"-43.5289,172.6424"
qsr-place:1509,240 High Street,"-43.5327,172.6378"
qsr-place:534,241 Gloucester Street,"-43.5300,172.6441"
qsr-place:2475,241 Hereford Street,"-43.5318,172.6445"
qsr-place:443,241 High Street,"-43.5336,172.6384"
qsr-place:1244,242 Manchester Street,"-43.5272,172.6399"
qsr-place:1062,242 Moorhouse Avenue,"-43.5401,172.6339"
qsr-place:1453,242 Salisbury Street,"-43.5244,172.6446"
qsr-place:2154,243 Cambridge Terrace,"-43.5275,172.6394"
qsr-place:444,243 High Street,"-43.5335,172.6384"
qsr-place:665,243 Madras Street,"-43.5328,172.6425"
qsr-place:2367,244 Avonhead Road,"-43.5120,172.5635"
qsr-place:555,244 Queensbury Street,"-43.4981,172.6777"
qsr-place:91,244 Salisbury Street,"-43.5245,172.6446"
qsr-place:2234,245 Ferry Road,"-43.5399,172.6579"
qsr-place:299,245 Hereford Street,"-43.5318,172.6448"
qsr-place:1862,245 Kilmore Street,"-43.5264,172.6467"
qsr-place:666,245 Madras Street,"-43.5328,172.6425"
qsr-place:2477,246 Gloucester Street,"-43.5302,172.6445"
qsr-place:966,246 Manchester Street,"-43.5268,172.6399"
qsr-place:2235,247 Ferry Road,"-43.5400,172.6580"
qsr-place:2158,247 Kilmore Street,"-43.5264,172.6468"
qsr-place:2407,248 High Street,"-43.5325,-43.5326"
qsr-place:126,248 Manchester Street,"-43.5262,172.6401"
qsr-place:2232,248 Montreal Street,"-43.5340,172.6308"
qsr-place:2796,248 Queensbury Street,"-43.4980,172.6769"
qsr-place:1879,248 St Asaph Street,"-43.5366,172.6411"
qsr-place:1557,248 Stanmore Road,"-43.5227,172.6569"
qsr-place:704,249 Armagh Street,"-43.5286,172.6455"
qsr-place:2236,249 Ferry Road,"-43.5400,172.6580"
qsr-place:664,249 Papanui Road,"-43.5103,172.6191"
qsr-place:1809,25 Armagh Street,"-43.5286,172.6296"
qsr-place:1153,25 Fendalton Road,"-43.5229,172.6111"
qsr-place:260,"25 Hastings Street, Southbridge","-43.809,172.252"
qsr-place:816,25 Highcrest Heights,"-43.5827,172.5979"
qsr-place:791,25 Medina Crescent,"-43.4840,172.7007"
qsr-place:876,25 Moreland Avenue,"-43.4930,172.5979"
qsr-place:2160,25 Mt Pleasant Road,"-43.5568,172.7202"
qsr-place:489,25 Nairn Street,"-43.5491,172.6045"
qsr-place:1645,25 Oxford Street,"-43.6032,172.7224"
qsr-place:1998,25 Peterborough Street,"-43.5252,172.6297"
qsr-place:2591,25 Rowan Avenue,"-43.512,172.706"
qsr-place:883,25 Rydal Street,"-43.5664,172.6090"
qsr-place:2798,25 Tasman Place,"-43.4992,172.6723"
qsr-place:2690,25 Waygreen Avenue,"-43.4991,172.7049"
qsr-place:1268,25 Welles Street,"-43.5370,172.6386"
qsr-place:2192,25 Woodham Road,"-43.5249,172.6620"
qsr-place:1960,250 High Street,"-43.5325,172.6375"
qsr-place:1818,250 Oxford Terrace,"-43.5284,172.6400"
qsr-place:2193,250 Pages Road,"-43.5213,172.6990"
qsr-place:1723,250 Williams Street,"-43.3786,172.6629"
qsr-place:2237,251 Ferry Road,"-43.5400,172.6581"
qsr-place:1997,251 High Street,"-43.5326,172.6374"
qsr-place:272,251 Papanui Road,"-43.5100,172.6190"
qsr-place:1306,251 Salisbury Street,"-43.5242,172.6449"
qsr-place:200,252 Bealey Avenue,"-43.5211,172.6442"
qsr-place:1680,253 Brougham Street,"-43.5473,172.6363"
qsr-place:1245,253 Cambridge Terrace,"-43.5275,172.6398"
qsr-place:2875,253 Locksley Avenue,"-43.5082,172.6810"
qsr-place:688,254 Montreal Street,"-43.5333,172.6308"
qsr-place:179,255 Kilmore Street,"-43.5263,172.6473"
qsr-place:1216,255 Madras Street,"-43.5323,172.6425"
qsr-place:2194,255 Mairehau Road,"-43.480,172.684"
qsr-place:2404,255 Manchester Street,"-43.5297,172.6395"
qsr-place:280,255 New Brighton Road,"-43.500,172.685"
qsr-place:706,256 Oxford Terrace,"-43.5283,172.6404"
qsr-place:2200,256 St Asaph Street,"-43.5367,172.6415"
qsr-place:1251,2565 Bealey Road,"-43.5393,171.9570"
qsr-place:2284,257 Breezes Road,"-43.515,172.702"
qsr-place:363,257 Kilmore Street,"-43.5263,172.6475"
qsr-place:594,257 Locksley Avenue,"-43.508,172.6814"
qsr-place:694,257 St Asaph Street,"-43.5363,172.6412"
qsr-place:1217,258 Papanui Road,"-43.5092,172.6196"
qsr-place:1902,259 Kilmore Street,"-43.5264,172.6480"
qsr-place:2124,259 River Road,"-43.5201,172.6617"
qsr-place:92,259 St Asaph Street,"-43.5362,172.6412"
qsr-place:1466,26 Balmoral Lane,"-43.5585,172.7319"
qsr-place:201,26 Barbour Street,"-43.5447,172.6563"
qsr-place:1677,26 Canterbury Street,"-43.6020,172.7210"
qsr-place:1579,26 Dublin Street,"-43.6013,172.7189"
qsr-place:2784,26 Goodman Street,"-43.5036,172.6786"
qsr-place:198,26 Hackthorne Road,"-43.5724,172.6241"
qsr-place:2148,26 Hereford Street,"-43.5323,172.6293"
qsr-place:2736,26 Liggins Street,"-43.5007,172.6767"
qsr-place:1955,26 London Street,"-43.6025,172.7215"
qsr-place:2261,26 Manchester Street,"-43.5388,172.6399"
qsr-place:1200,26 Nash Road,"-43.561,172.571"
qsr-place:1629,26 Norwich Quay,"-43.6035,172.7207"
qsr-place:1872,26 Park Terrace,"-43.5275,172.6284"
qsr-place:1720,26 Ripon Street,"-43.5992,172.7231"
qsr-place:2674,26 Seabreeze Close,"-43.5193,172.7202"
qsr-place:1585,26 Sir William Pickering Drive,"-43.4962,172.5588"
qsr-place:845,26 Stour Drive,"-43.4997,172.6930"
qsr-place:2399,26 Waitaki Street,"-43.5093,172.7176"
qsr-place:2682,26 Waygreen Avenue,"-43.4998,172.7056"
qsr-place:2300,260 Linwood Avenue,"-43.535,172.674"
qsr-place:1091,261 Cashel Street,"-43.5329,172.6458"
qsr-place:2081,261 Kilmore Street,"-43.5264,172.6481"
qsr-place:2559,263 Ferry Road,"-43.5400,172.6592"
qsr-place:1423,263 High Street,"-43.5328,172.6375"
qsr-place:2036,263 St Asaph Street,"-43.5362,172.6415"
qsr-place:1218,264 Papanui Road,"-43.5089,172.6191"
qsr-place:213,265 Manchester Street,"-43.5296,172.6395"
qsr-place:1994,265 Riccarton Road,"-43.5317,172.5846"
qsr-place:1366,265 River Road,"-43.5199,172.6619"
qsr-place:1208,265 Stanmore Road,"-43.5216,172.6562"
qsr-place:1810,266 Armagh Street,"-43.5291,172.6444"
qsr-place:2377,266 Gloucester Street,"-43.5300,172.6460"
qsr-place:1539,266 St Asaph Street,"-43.5367,172.6419"
qsr-place:1713,267 Cambridge Terrace,"-43.5270,172.6408"
qsr-place:1853,267 Gloucester Street,"-43.5296,172.6454"
qsr-place:1761,267 Manchester Street,"-43.5297,172.6394"
qsr-place:151,268 Madras Street,"-43.5295,172.6429"
qsr-place:93,268 Stanmore Road,"-43.5215,172.6566"
qsr-place:807,268 Wilsons Road,"-43.5501,172.6524"
qsr-place:2877,269 Locksley Avenue,"-43.5073,172.6816"
qsr-place:2127,269 River Road,"-43.5197,172.6621"
qsr-place:1467,27 Main Road,"-43.5578,172.7340"
qsr-place:702,27 Manchester Street,"-43.5384,172.6395"
qsr-place:2684,27 Waygreen Avenue,"-43.4989,172.7050"
qsr-place:2609,27 Wyber Place,"-43.3907,172.6602"
qsr-place:1578,270 St Asaph Street,"-43.5365,172.6422"
qsr-place:2088,271 Madras Street,"-43.5292,172.6423"
qsr-place:1970,272 Barbadoes Street,"-43.5315,172.6460"
qsr-place:2114,272 Fitzgerald Avenue,"-43.5231,172.6509"
qsr-place:318,272 Worcester Street,"-43.5311,172.6493"
qsr-place:1866,273 Montreal Street,"-43.5327,172.6302"
qsr-place:1699,274 Cashel Street,"-43.5333,172.6453"
qsr-place:150,274 Papanui Road,"-43.5083,172.6188"
qsr-place:1950,275 Hereford Street,"-43.5318,172.6470"
qsr-place:1010,275 High Street,"-43.5326,172.6372"
qsr-place:2125,275 River Road,"-43.5195,172.6626"
qsr-place:1627,276 Colombo Street,"-43.5508,172.6370"
qsr-place:1148,277 Barbadoes Street,"-43.5308,172.6455"
qsr-place:87,277 Cambridge Terrace,"-43.5270,172.6413"
qsr-place:964,277 Manchester Street,"-43.5293,172.6393"
qsr-place:149,277 Papanui Road,"-43.5085,172.6179"
qsr-place:94,278 Antigua Street,"-43.5350,172.6279"
qsr-place:498,278 Williams Street,"-43.376,172.664"
qsr-place:1213,278 Worcester Street,"-43.5311,172.6497"
qsr-place:978,279 High Street,"-43.5325,172.6371"
qsr-place:1301,279 Montreal Street,"-43.5322,172.6304"
qsr-place:645,28 Aikmans Road,"-43.5148,172.6142"
qsr-place:773,28 Bealey Avenue,"-43.5211,172.6287"
qsr-place:1037,28 Bedford Row,"-43.5339,172.6414"
qsr-place:544,28 Birch Street,"-43.5149 ,172.7214"
qsr-place:671,28 Cathedral Square,"-43.5312,172.6383"
qsr-place:1999,28 Circuit Street,"-43.5086,172.6172"
qsr-place:853,28 Edmond Street,"-43.5419,172.6688"
qsr-place:2549,28 Fitzgerald Avenue,"-43.5382,172.6509"
qsr-place:1495,28 Gayhurst Road,"-43.5202,172.6731"
qsr-place:646,28 Gloucester Street,"-43.5302,172.6294"
qsr-place:2770,28 Goodman Street,"-43.5036,172.6788"
qsr-place:2342,28 Keller Street,"-43.5200,172.6664"
qsr-place:2966,28 Marriner Street,"-43.5684,172.7588"
qsr-place:623,28 Normans Road,"-43.5092,172.6096"
qsr-place:6,28 Pratt Street,"-43.5068,172.7185"
qsr-place:867,28 Tabart Street,"-43.5510,172.6657"
qsr-place:823,28 Tower Street,"-43.5457,172.5273"
qsr-place:95,280 Cashel Street,"-43.5333,172.6459"
qsr-place:859,280 Gilmours Road,"-43.6702,172.5220"
qsr-place:148,280 High Street,"-43.5322,172.6372"
qsr-place:1033,281 High Street,"-43.5325,172.6369"
qsr-place:1816,281 Madras Street,"-43.5283,172.6424"
qsr-place:2206,281 Pine Avenue,"-43.5307,172.7381"
qsr-place:274,282 Durham Street North,"-43.5282,172.6340"
qsr-place:2437,283 Worcester Street,"-43.5306,172.6496"
qsr-place:431,284 Durham Street North,"-43.5281,172.6340"
qsr-place:96,284 Manchester Street,"-43.5249,172.6400"
qsr-place:70,285 Selwyn Street,"-43.5493,172.6217"
qsr-place:432,286 Durham Street North,"-43.5281,172.6341"
qsr-place:473,"286 High Street, Rangiora","-43.3039,172.5901"
qsr-place:2110,286 Lincoln Road,"-43.5444,172.6109"
qsr-place:147,286 Oxford Terrace,"-43.5274,172.6430"
qsr-place:2560,286 Wilsons Road,"-43.5492,172.6527"
qsr-place:480,287 Durham Street North,"-43.5290,172.6336"
qsr-place:2629,287 Madras Street,"-43.5282,172.6423"
qsr-place:1909,287 Manchester Street,"-43.5286,172.6395"
qsr-place:701,287 Moorhouse Avenue,"-43.5396,172.6373"
qsr-place:345,287 Selwyn Street,"-43.5492,172.6217"
qsr-place:2241,288 Main Road,"-43.5641,172.7494"
qsr-place:2907,288 Stanmore Road,"-43.5201,172.6570"
qsr-place:509,289 Durham Street North,"-43.5292,172.6332"
qsr-place:346,289 Selwyn Street,"-43.5491,172.6217"
qsr-place:1652,29 Canterbury Street,"-43.6016,172.7208"
qsr-place:638,29 Courtenay Drive,"-43.3874,172.6619"
qsr-place:567,29 Gayhurst Road,"-43.5197,172.6728"
qsr-place:1180,29 Kahu Road,"-43.5257,172.6000"
qsr-place:2343,29 Kingsford Street,"-43.507,172.675"
qsr-place:2133,29 Latimer Square,"-43.5303,172.6418"
qsr-place:1580,29 London Street,"-43.6028,172.7213"
qsr-place:252,290 Selwyn Street,"-43.5491,172.6220"
qsr-place:1971,291 Barbadoes Street,"-43.5302,172.6454"
qsr-place:508,291 Durham Street North,"-43.5292,172.6332"
qsr-place:191,291 Madras Street,"-43.5281,172.6422"
qsr-place:347,291 Selwyn Street,"-43.5491,172.6217"
qsr-place:2175,292 Cashel Street,"-43.5333,172.6468"
qsr-place:1273,292 Kilmore Street,"-43.5267,172.6497"
qsr-place:423,292 Selwyn Street,"-43.5490,172.6220"
qsr-place:1406,293 Barbadoes Street,"-43.5301,172.6454"
qsr-place:507,293 Durham Street North,"-43.5292,172.6332"
qsr-place:348,293 Selwyn Street,"-43.5490,172.6217"
qsr-place:1147,294 Barbadoes Street,"-43.5304,172.6459"
qsr-place:2167,294 Hereford Street,"-43.5322,172.6477"
qsr-place:1382,294 Kilmore Street,"-43.5267,172.6500"
qsr-place:487,294 Lincoln Road,"-43.5440,172.6114"
qsr-place:1134,294 Selwyn Street,"-43.5489,172.6220"
qsr-place:2620,295 Ilam Road,"-43.508,172.582"
qsr-place:349,295 Selwyn Street,"-43.5489,172.6217"
qsr-place:2279,297 Lincoln Road,"-43.5435,172.6113"
qsr-place:2176,297 Moorhouse Avenue,"-43.539,172.638"
qsr-place:350,297 Selwyn Street,"-43.5488,172.6217"
qsr-place:2168,298 Hereford Street,"-43.5322,172.6480"
qsr-place:1937,299 Durham Street North,"-43.5286,172.6334"
qsr-place:351,299 Selwyn Street,"-43.5488,172.6217"
qsr-place:1594,3 Anfield Street,"-43.4035,172.6958"
qsr-place:256,3 Aynsley Terrace,"-43.5545,172.6676"
qsr-place:2085,3 Beresford Street,"-43.5078,172.7309"
qsr-place:2344,3 Blackridge Lane,"-43.4001,172.6966"
qsr-place:2223,3 Canterbury Street,"-43.6029,172.7201"
qsr-place:882,3 Coleridge Terrace,"-43.6008,172.7184"
qsr-place:1490,3 Cranmer Square,"-43.5286,172.6298"
qsr-place:68,3 Edward Street,"-43.6403,172.4878"
qsr-place:2086,3 Garlands Road,"-43.560,172.680"
qsr-place:526,3 Locksley Avenue,"-43.5211,172.6730"
qsr-place:396,3 Main North Road,"-43.4968,172.6077"
qsr-place:2107,3 McCormacks Bay Road,"-43.5561,172.7211"
qsr-place:2491,"3 Meadow Street, Kaiapoi","-43.3813,172.6626"
qsr-place:832,3 Townend Street,"-43.0557,172.7619"
qsr-place:607,3 Waitaki Street,"-43.5081,172.7165"
qsr-place:1653,3 Winchester Street,"-43.6021,172.7226"
qsr-place:1751,30 Bedford Row,"-43.5339,172.6414"
qsr-place:2555,30 Beresford Street,"-43.5079,172.7287"
qsr-place:896,30 Burnside Crescent,"-43.4993,172.5630"
qsr-place:641,30 Cedar Place,"-43.3008,172.5763"
qsr-place:1958,30 Church Lane,"-43.5150,172.6227"
qsr-place:471,30 Dyers Pass Road,"-43.5673,172.6382"
qsr-place:589,30 Jennifer Street,"-43.5004,172.5939"
qsr-place:1474,30 Kinsey Terrace,"-43.5645,172.7501"
qsr-place:1044,30 Latimer Square,"-43.5305,172.6436"
qsr-place:146,30 Linwood Avenue,"-43.5267,172.6615"
qsr-place:2619,"30 Main Street, Oxford","-43.2973,172.1948"
qsr-place:1028,30 Norwich Quay,"-43.6035,172.7205"
qsr-place:310,30 Peacock Street,"-43.5219,172.6326"
qsr-place:1584,30 Sir William Pickering Drive,"-43.4970,172.5583"
qsr-place:930,30 Truman Road,"-43.5068,172.5832"
qsr-place:1055,30 Victoria Street,"-43.5256,172.6329"
qsr-place:2889,30 Vogel Street,"-43.5218,172.6581"
qsr-place:2161,30 Wairoa Street,"-43.5110,172.7224"
qsr-place:2400,30 Waitaki Street,"-43.5096,172.7178"
qsr-place:2513,30 Waltham Road,"-43.5528,172.6498"
qsr-place:2956,300 Burwood Road,"-43.480,172.684"
qsr-place:2089,300 Gloucester Street,"-43.5300,172.6481"
qsr-place:67,300 Manchester Street,"-43.5241,172.6402"
qsr-place:2583,301 Cashel Street,"-43.5328,172.6481"
qsr-place:1479,301 Main Road,"-43.5662,172.7562"
qsr-place:2128,301 River Road,"-43.5193,172.6635"
qsr-place:352,301 Selwyn Street,"-43.5487,172.6217"
qsr-place:2438,302 Gloucester Street,"-43.5301,172.6482"
qsr-place:1219,"303 High Street, Rangiora","-43.3042,172.5904"
qsr-place:2941,303 Jowers Road,"-43.5127,172.4210"
qsr-place:1480,303 Main Road,"-43.5662,172.7563"
qsr-place:1550,305 Breezes Road,"-43.5176,172.7026"
qsr-place:1481,305 Main Road,"-43.5663,172.7564"
qsr-place:66,305 Manchester Street,"-43.5271,172.6394"
qsr-place:1194,307 Manchester Street,"-43.5270,172.6394"
qsr-place:2126,307 River Road,"-43.5189,172.6639"
qsr-place:1319,308 Avonside Drive,"-43.5192,172.6653"
qsr-place:1220,308 St Asaph Street,"-43.5365,172.6461"
qsr-place:119,309 Durham Street North,"-43.5280,172.6332"
qsr-place:581,31 Boston Avenue,"-43.5551,172.528"
qsr-place:2978,31 Butterfield Avenue,"-43.530,172.683"
qsr-place:1253,31 Canterbury Street,"-43.6016,172.7208"
qsr-place:1473,31 Clifton Terrace,"-43.5659,172.7539"
qsr-place:294,31 Dundas Street,"-43.5386,172.6387"
qsr-place:2370,31 Finnsarby Place,"-43.5803,172.7544"
qsr-place:519,31 Gayhurst Road,"-43.5192,172.6728"
qsr-place:861,31 Kea Street,"-43.6187,172.2947"
